feature,importance,abs_importance
TotalDelinquencies_log,0.5098297,0.5098297
RevolvingUtilizationOfUnsecuredLines_log,0.17142045,0.17142045
Util_x_Late,0.14011885,0.14011885
age,0.02844911,0.02844911
NumberRealEstateLoansOrLines,0.02453917,0.02453917
MonthlyIncome_log,0.018820262,0.018820262
IncomePerCreditLine,0.018253088,0.018253088
CreditLines_x_Delinquencies,0.0172661,0.0172661
NumberOfOpenCreditLinesAndLoans,0.01726247,0.01726247
IncomePerDependent,0.016453119,0.016453119
DebtRatio_log,0.01606351,0.01606351
NumberOfDependents,0.012719669,0.012719669
AgeGroup_MidAge,0.008804538,0.008804538
MonthlyIncome_missing_flag,0.0,0.0
NumberOfDependents_missing_flag,0.0,0.0
HighUtilizationFlag,0.0,0.0
AgeGroup_Senior,0.0,0.0
DependentsGroup_Small,0.0,0.0
DependentsGroup_Large,0.0,0.0
